payer_id,payer_name,policy_document,filing_deadline_days,preferred_contact_method,average_processing_days,average_response_days,required_documents,escalation_after_days,policy_text
PAY001,BlueCross Health,BlueCross Health AR Follow-Up Policy,90,Portal,14,5,Eligibility proof;Referral,10,BlueCross Health generally processes claims in 14 days and responds to follow-ups in about 5 days. Preferred contact is Portal. Typical documentation includes Eligibility proof;Referral. Escalate unresolved claims after approximately 10 days.
PAY002,AetnaCare,AetnaCare AR Follow-Up Policy,120,Portal,18,7,Operative report;Authorization,12,AetnaCare generally processes claims in 18 days and responds to follow-ups in about 7 days. Preferred contact is Portal. Typical documentation includes Operative report;Authorization. Escalate unresolved claims after approximately 12 days.
PAY003,UnitedCare,UnitedCare AR Follow-Up Policy,90,Email,16,6,Itemized bill;Medical records,11,UnitedCare generally processes claims in 16 days and responds to follow-ups in about 6 days. Preferred contact is Email. Typical documentation includes Itemized bill;Medical records. Escalate unresolved claims after approximately 11 days.
PAY004,Cigna Health,Cigna Health AR Follow-Up Policy,120,Portal,20,8,Operative report;Authorization,13,Cigna Health generally processes claims in 20 days and responds to follow-ups in about 8 days. Preferred contact is Portal. Typical documentation includes Operative report;Authorization. Escalate unresolved claims after approximately 13 days.
PAY005,Medicare,Medicare AR Follow-Up Policy,365,Portal,21,9,Eligibility proof;Referral,14,Medicare generally processes claims in 21 days and responds to follow-ups in about 9 days. Preferred contact is Portal. Typical documentation includes Eligibility proof;Referral. Escalate unresolved claims after approximately 14 days.
PAY006,Medicaid,Medicaid AR Follow-Up Policy,365,Portal,25,11,Operative report;Authorization,16,Medicaid generally processes claims in 25 days and responds to follow-ups in about 11 days. Preferred contact is Portal. Typical documentation includes Operative report;Authorization. Escalate unresolved claims after approximately 16 days.
PAY007,Humana,Humana AR Follow-Up Policy,180,Phone,19,7,Itemized bill;Medical records,12,Humana generally processes claims in 19 days and responds to follow-ups in about 7 days. Preferred contact is Phone. Typical documentation includes Itemized bill;Medical records. Escalate unresolved claims after approximately 12 days.
PAY008,Kaiser Health,Kaiser Health AR Follow-Up Policy,90,Portal,13,5,Itemized bill;Medical records,10,Kaiser Health generally processes claims in 13 days and responds to follow-ups in about 5 days. Preferred contact is Portal. Typical documentation includes Itemized bill;Medical records. Escalate unresolved claims after approximately 10 days.
PAY009,Anthem,Anthem AR Follow-Up Policy,90,Email,17,6,Eligibility proof;Referral,11,Anthem generally processes claims in 17 days and responds to follow-ups in about 6 days. Preferred contact is Email. Typical documentation includes Eligibility proof;Referral. Escalate unresolved claims after approximately 11 days.
PAY010,Molina Health,Molina Health AR Follow-Up Policy,180,Portal,27,12,Itemized bill;Medical records,17,Molina Health generally processes claims in 27 days and responds to follow-ups in about 12 days. Preferred contact is Portal. Typical documentation includes Itemized bill;Medical records. Escalate unresolved claims after approximately 17 days.
